,trial_index,arm_name,trial_status,generation_method,mse,optimizer,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight
0,0,0_0,COMPLETED,Sobol,0.2384576227515936,adam,0.0015692441295553977,128,0.4242419467270374,0.003121459933096992,32,128,1024,8.345571427941323
1,1,1_0,COMPLETED,Sobol,11.49875864982605,adamax,2.4131818324335206e-06,256,0.6103063640780747,6.30420519014728e-06,128,64,256,3.5263702319934964
2,2,2_0,COMPLETED,Sobol,747664828.9426751,adamax,0.008616367786150587,32,0.04532690056879073,3.3566440217309935e-05,256,256,64,0.531815581182018
3,3,3_0,COMPLETED,Sobol,0.14125864263623952,adam,0.00023562624648058771,128,0.9806832348369062,0.013964181880125022,16,32,512,5.1169524721242485
4,4,4_0,COMPLETED,Sobol,0.6064061522483826,adam,0.08465109504589545,512,0.8531416609380394,0.023956349167029652,64,512,64,2.456965985223651
5,5,5_0,COMPLETED,Sobol,3.3329901695251465,adamax,3.086827407375602e-05,64,0.1650658710440621,0.0002428091921560483,64,16,512,6.925247539868578
6,6,6_0,COMPLETED,Sobol,1.8866121590137481,adamax,0.0008761445445807625,256,0.7402869660872966,3.6747734249810273e-06,128,256,1024,9.002751297783107
7,7,7_0,COMPLETED,Sobol,7.8285808138027315,adam,5.68140332828189e-06,32,0.30206405513640494,0.00043150328914227026,16,64,256,4.144159169094637
8,8,8_0,COMPLETED,Sobol,0.8882701486349106,adam,0.013964239525297876,256,0.23912778355088085,1.43399653955885e-05,16,512,64,1.537482891427353
9,9,9_0,COMPLETED,Sobol,0.7831590473651886,adamax,9.05559142020924e-05,32,0.8022485449109227,0.0014063801791431543,256,16,512,6.591216025631875
10,10,10_0,COMPLETED,Sobol,4.508058738708496,adamax,0.0053403811909428405,512,0.3528627922749147,0.00805628399814517,128,256,1024,9.995288135847076
11,11,11_0,COMPLETED,Sobol,11.606463866897776,adam,1.9474741165398303e-06,64,0.6663212188202888,6.824655832370347e-05,32,32,256,4.395303075686097
12,12,12_0,COMPLETED,Sobol,0.2709635666031746,adam,0.0005406062481205191,32,0.5441128522641957,0.00011707619707524653,16,128,1024,7.972359398249536
13,13,13_0,COMPLETED,Sobol,43.37427825927735,adamax,1.4782940465826635e-05,256,0.48287388134468345,0.05827369436097225,256,64,256,2.6457629039976744
14,14,14_0,COMPLETED,Sobol,666031810150.4,adamax,0.024874119186146747,128,0.9220180024467408,0.0008198210346929334,128,512,64,0.8221401241794228
15,15,15_0,COMPLETED,Sobol,6.481225490570068,adam,3.8249659305176296e-05,512,0.1115557225914672,1.982418846478258e-06,64,16,512,6.070613544387743
16,16,16_0,COMPLETED,Sobol,0.06130815226181298,adam,0.040839892626387056,32,0.7146046915892511,0.022024756603800533,256,64,64,6.336018032198772
17,17,17_0,COMPLETED,Sobol,6.611122417449951,adamax,6.29775376916722e-05,256,0.28018883743789047,2.1538415292586032e-05,16,128,512,1.7896711435914041
18,18,18_0,COMPLETED,BoTorch,0.10154429225215486,adam,0.056956420005913944,32,0.2053512776026461,0.004936211874276487,16,256,1024,5.1398795422181225
19,19,19_0,COMPLETED,BoTorch,0.3848960131406784,adam,0.1,512,0.999,0.1,16,64,64,5.621194585617981
20,20,20_0,COMPLETED,BoTorch,0.3300218731164932,adam,0.1,512,0.999,0.1,16,16,512,1.848463001339871
21,21,21_0,COMPLETED,BoTorch,0.05128975744080392,adam,0.020498210907375525,32,0.2845272758646658,0.1,16,512,512,7.266113627310919
22,22,22_0,COMPLETED,BoTorch,1.0982629394834968,adamax,8.298874368670904e-05,32,0.999,6.527498469472203e-06,256,16,1024,10.0
23,23,23_0,COMPLETED,BoTorch,1.5822122931480407,adam,0.0036439860944215007,512,0.999,0.1,16,512,1024,4.738256869997019
24,24,24_0,COMPLETED,BoTorch,0.042079683962711105,adam,0.005872603780618843,32,0.999,0.1,16,16,64,5.981480849000617
25,25,25_0,COMPLETED,BoTorch,0.07251686251657025,adam,0.02449287818947649,32,0.999,0.0019357038127280676,64,16,512,6.564792068817691
26,26,26_0,COMPLETED,BoTorch,0.07122550968816325,adam,0.0034802748507349562,32,0.0,0.1,16,16,1024,5.414139202622705
27,27,27_0,COMPLETED,BoTorch,0.07195795934860873,adam,0.029389645623239816,32,0.999,0.00018749672570866078,16,16,256,3.5603276378233644
28,28,28_0,COMPLETED,BoTorch,0.058895050886140506,adam,0.1,32,0.0,0.019801548425488407,16,64,256,3.150146899430501
29,29,29_0,COMPLETED,BoTorch,0.24657099698759188,adamax,0.00019694442289240456,32,0.999,2.7110893670713047e-05,256,16,64,8.019883514399709
30,30,30_0,COMPLETED,BoTorch,0.9751292429152568,adamax,0.000380787506097662,32,0.999,0.1,256,16,1024,8.167017682536608
31,31,31_0,COMPLETED,BoTorch,0.08703239622769082,adam,0.000515393710079706,32,0.0,0.1,16,16,64,6.918709542870863
32,32,32_0,COMPLETED,BoTorch,0.19283495017677355,adam,0.1,32,0.0,1e-06,32,16,64,3.044965965666394
33,33,33_0,COMPLETED,BoTorch,0.19260834916761727,adam,0.1,32,0.0,5.135120618817066e-06,64,512,64,7.5959392860260495
34,34,34_0,COMPLETED,BoTorch,0.1376465802328496,adam,0.07429346968787433,64,0.0,0.1,16,16,64,4.984000985052472
35,35,35_0,COMPLETED,BoTorch,306.3111856194991,adamax,0.0002071844920385861,64,0.0,1e-06,16,16,64,0.01
36,36,36_0,COMPLETED,BoTorch,21893.037430775315,adam,0.000303924986535365,64,0.0,0.1,16,16,64,0.01
37,37,37_0,COMPLETED,BoTorch,28.976668739318846,adamax,7.516616902646034e-05,512,0.999,1e-06,256,512,1024,7.893150115802012
38,38,38_0,COMPLETED,BoTorch,0.5548440362237821,adamax,0.00025655836091515485,32,0.999,1e-06,16,16,256,4.838625341210906
39,39,39_0,COMPLETED,BoTorch,0.13934092290082556,adam,0.00042217751483344853,32,0.999,1e-06,256,512,64,10.0
