,trial_index,arm_name,trial_status,generation_method,mse,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight
0,0,0_0,COMPLETED,Sobol,0.1025434124130237,0.00014873959046591423,64,0.4504218465685844,0.04013395774746661,64,64,1024,9.682688649296761
1,1,1_0,COMPLETED,Sobol,3.3409222990274428,0.0003829723483975253,128,0.9328245852263645,4.462702616444158e-06,512,512,64,1.1503685369715095
2,2,2_0,COMPLETED,Sobol,0.03799258455445495,0.020418317040361688,64,0.11422186571918427,0.0003663632670636216,256,512,1024,3.9955128754302858
3,3,3_0,COMPLETED,Sobol,42.88573617935181,1.2314254526485559e-05,256,0.5039444027189165,2.7516225013393005e-05,256,256,512,5.503611911777407
4,4,4_0,COMPLETED,Sobol,14.338150809082803,1.3671793367251123e-06,64,0.7810425250763073,7.569520687102136e-05,64,64,1024,3.373502129856497
5,5,5_0,COMPLETED,Sobol,0.12822232469916345,0.04361166212374364,256,0.3288191172676161,0.00216408763913729,256,256,512,7.379103510789573
6,6,6_0,COMPLETED,Sobol,0.06588238943368196,0.003488721824767865,128,0.6479856671970338,1.4831487886890698e-06,512,512,512,7.807202427946031
7,7,7_0,COMPLETED,Sobol,6.993641686439514,6.88537726185398e-05,256,0.2279561412949115,0.006207543715064379,64,64,64,1.7723846788145603
8,8,8_0,COMPLETED,Sobol,9.125953457023524,2.4074056295239856e-05,64,0.7251020169686526,0.00451224012659839,512,256,1024,2.632903743209317
9,9,9_0,COMPLETED,Sobol,0.0807341668754816,0.0024767443517721382,256,0.146969959365204,0.00016788246706429057,64,512,64,6.636939089586958
10,10,10_0,COMPLETED,Sobol,0.1385336503197875,0.06142832456659811,64,0.8425192509675399,0.013775945974421461,256,512,512,8.23561043038033
11,11,11_0,COMPLETED,Sobol,29.47559998035431,3.91041610415793e-06,128,0.29462985873688013,3.093820850987502e-06,512,64,64,2.2023539522010833
12,12,12_0,COMPLETED,Sobol,43.044118356704715,8.446449955774041e-06,128,0.009849012007936836,8.90130063703253e-06,256,64,512,8.862502120109275
13,13,13_0,COMPLETED,Sobol,1216606623078809.5,0.006743998820524562,256,0.6199953487906605,0.07783882481480157,64,512,64,0.331747986515984
14,14,14_0,RUNNING,Sobol,,0.0011595487299254062,64,0.4241261232504621,5.33157849965044e-05,64,256,1024,4.503515030732379
15,15,15_0,COMPLETED,Sobol,0.55452501475811,0.00021684105138223113,256,0.9396411078991368,0.0007301661590916696,512,64,512,6.010052796127274
16,16,16_0,COMPLETED,BoTorch,0.13607144676431826,0.036525377223914385,64,0.589329591271911,0.00016562983615538311,256,512,1024,10.0
17,17,17_0,COMPLETED,BoTorch,1.2189859530370107e+18,0.1,64,0.0,0.0026507856801865457,512,512,1024,2.8651295830998675
18,18,18_0,COMPLETED,BoTorch,0.13308169469237327,0.0006596368820106877,256,0.0,1.817681832966847e-05,64,512,64,10.0
19,19,19_0,RUNNING,BoTorch,,9.033406459134155e-05,64,0.0,0.0014629791808575276,64,256,1024,10.0
