,trial_index,arm_name,trial_status,generation_method,mse,learning_rate,batch_size,momentum,weight_decay,hidden_dimension,embedding_dimension,codebook_size,commitment_weight
0,0,0_0,COMPLETED,Sobol,0.22743479832063748,0.05253072404264671,64,0.3288914021551609,1.1684735851342606e-06,64,64,1024,1.0898376914858818
1,1,1_0,COMPLETED,Sobol,11.035503578186034,2.4601827185592903e-06,256,0.8290416535316035,0.03702460488604085,256,256,64,9.997946896320208
2,2,2_0,COMPLETED,Sobol,9.322751152515412,8.099675529839545e-05,128,0.012287907072342933,0.00022827259051735503,512,512,1024,7.215671951062977
3,3,3_0,COMPLETED,Sobol,0.14919882901012899,0.00038053113403002745,128,0.5115063920784741,0.0007224448925716835,256,64,64,3.6390631001722067
4,4,4_0,COMPLETED,Sobol,0.052025911118835214,0.0015897415757913603,128,0.9449422846622765,0.005602563063349322,256,64,1024,6.2319319808948785
5,5,5_0,COMPLETED,Sobol,11.407239544391633,2.3568652450610973e-05,128,0.44511123005580155,4.667121774226635e-05,512,512,64,4.816245962958782
6,6,6_0,COMPLETED,Sobol,93.43747204164916,1.0340192495948288e-05,64,0.6449297459581866,0.00684157327181192,256,512,512,2.370524366730824
7,7,7_0,COMPLETED,Sobol,0.06748929992318153,0.015367730200019077,256,0.14612191146053374,8.189848739597759e-06,64,256,512,8.444556404519826
8,8,8_0,COMPLETED,Sobol,0.05738286087289453,0.008546140740837751,128,0.7362454804647713,2.6973468498946456e-05,512,256,1024,5.617488581873476
9,9,9_0,COMPLETED,Sobol,7.240017199516297,7.531412216559999e-06,256,0.23656968955043703,0.0015867695077653832,64,512,64,4.221390518946573
10,10,10_0,COMPLETED,Sobol,11.951675258105315,5.558688135786055e-05,64,0.9201485124109313,9.89199070475853e-06,256,256,512,1.7562522341310978
11,11,11_0,COMPLETED,Sobol,0.07813097722828388,0.0049107923488536705,256,0.4214311566017568,0.016862778689319725,512,64,512,7.849872226929292
12,12,12_0,COMPLETED,Sobol,4.727495147120811e+16,0.0010667561087067336,64,0.10451859577931463,0.06341187246012238,512,256,1024,0.45529432454146446
13,13,13_0,COMPLETED,Sobol,0.8848685681819916,0.0002973925489866042,256,0.6048202962437644,4.078063944355199e-06,64,512,64,9.343968009669334
14,14,14_0,COMPLETED,Sobol,12.770994391622423,1.6448244390211116e-06,64,0.30306049300264565,0.0006046721796511092,64,256,1024,6.581261741714552
15,15,15_0,COMPLETED,Sobol,0.122011598944664,0.04599949010257166,128,0.8023732675798237,9.376026171269958e-05,256,64,64,2.9852173711173235
16,16,16_0,COMPLETED,BoTorch,0.08069048598408698,0.03981925571399775,128,0.9114285300324371,1.3335776180004001e-05,256,64,1024,5.366845634043283
17,17,17_0,COMPLETED,BoTorch,1.5242915958166123,0.00011223038119175912,128,0.0,1.94097875813283e-05,512,64,1024,5.817879827603069
18,18,18_0,COMPLETED,BoTorch,0.15809039324522017,0.0014384609689237964,256,0.4951019195780358,0.0005660595006163835,64,64,1024,4.2880886472069815
19,19,19_0,COMPLETED,BoTorch,0.6561285436153412,0.08430262441348475,128,0.0,0.00045295921590484805,256,64,64,7.9404641001327105
20,20,20_0,COMPLETED,BoTorch,1.3762104988098145,0.1,256,0.999,0.00010046600874977216,512,256,1024,6.897446605975516
21,21,21_0,COMPLETED,BoTorch,0.380599657446146,0.1,128,0.999,1e-06,64,256,1024,7.162146000106135
22,22,22_0,COMPLETED,BoTorch,1.0787158459424973,0.1,128,0.999,1e-06,512,256,1024,10.0
23,23,23_0,COMPLETED,BoTorch,0.07460087034851312,0.003843308759734126,128,0.0,0.0003342213399364606,64,256,1024,8.979793781670534
24,24,24_0,COMPLETED,BoTorch,0.08077355585992337,0.0052439764096011265,256,0.0,0.0009564963561270873,64,256,1024,7.326985749957728
25,25,25_0,COMPLETED,BoTorch,23.195765362510198,1e-06,64,0.0,1e-06,64,64,1024,10.0
26,26,26_0,COMPLETED,BoTorch,0.0456629260443151,0.006914066236909792,128,0.0,1e-06,64,64,64,10.0
27,27,27_0,COMPLETED,BoTorch,1.09318765103817,0.0054379039808658885,128,0.0,1e-06,512,64,64,1.0255294555548917
28,28,28_0,COMPLETED,BoTorch,0.07809682544320821,0.0010964520229577595,128,0.999,0.0006179854643720636,64,64,1024,10.0
29,29,29_0,COMPLETED,BoTorch,0.0801175132393837,0.0013829361168929257,128,0.0,0.0011595177732737889,64,64,1024,10.0
