,trial_index,arm_name,trial_status,generation_method,mse,learning_rate,batch_size,weight_decay,hidden_dimension,embedding_dimension,codebook_size,codebook_initialization_radius,commitment_weight
0,0,0_0,COMPLETED,Sobol,64582556.9044586,0.001,32,0.0001,64,64,1024,1.0,1.0
1,1,1_0,COMPLETED,Sobol,86441.2140625,0.0001,128,0.01,256,256,64,0.01,1.0
2,2,2_0,COMPLETED,Sobol,148661770006.68353,0.0001,64,0.001,128,512,256,2.0,0.0
3,3,3_0,COMPLETED,Sobol,0.023507530940696596,0.001,128,0.1,256,128,256,0.5,10.0
4,4,4_0,COMPLETED,Sobol,22634463037.569622,0.001,64,0.01,128,128,1024,2.0,0.0
5,5,5_0,COMPLETED,Sobol,0.07636127724677702,0.0001,64,0.0001,64,512,64,0.5,10.0
6,6,6_0,COMPLETED,Sobol,0.06615969215988353,0.0001,32,0.1,256,256,128,1.0,4.0
7,7,7_0,COMPLETED,Sobol,9479333081.6,0.001,128,0.001,64,64,512,0.01,0.25
8,8,8_0,COMPLETED,Sobol,493577063160922.75,0.001,64,0.1,128,256,512,2.0,0.0
9,9,9_0,COMPLETED,Sobol,0.0834481105208397,0.0001,128,0.001,128,64,128,0.5,10.0
10,10,10_0,COMPLETED,Sobol,0.0998815571426586,0.0001,32,0.01,64,128,64,1.0,4.0
11,11,11_0,RUNNING,Sobol,,0.001,128,0.0001,256,512,1024,0.01,0.25
12,12,12_0,RUNNING,Sobol,,0.001,32,0.001,256,512,512,1.0,4.0
